entityid,entityname,principaladdress1,principaladdress2,principalcity,principalstate,principalzipcode,principalcountry,mailingaddress1,mailingaddress2,mailingcity,mailingstate,mailingzipcode,mailingcountry,entitystatus,jurisdictonofformation,entitytypeverbatim,entitytype,agentfirstname,agentmiddlename,agentlastname,agentsuffix,agentorganizationname,agentprincipaladdress1,agentprincipaladdress2,agentprincipalcity,agentprincipalstate,agentprincipalzipcode,agentprincipalcountry,agentmailingaddress1,agentmailingaddress2,agentmailingcity,agentmailingstate,agentmailingzipcode,agentmailingcountry,entityformdate
19901084785,"RED RIVER INVESTMENTS, INC., Dissolved August 25, 2017",8621 FALLS CREEK MAIN,,Durango,CO,81301,US,,,,,,,Voluntarily Dissolved,,Corporation,DPC,THOMAS,R.,FLINN,,,8621 FALLS CREEK MAIN,,DURANGO,CO,81301,US,,,,,,,9/4/1990
19931052203,"RIVERWOOD CORPORATION, Delinquent October 1, 2012",8812 S BLUE MTN PL,,Highlands Ranch,CO,80126,US,,,,,,,Delinquent,,Corporation,DPC,ALAN,,JENKS,,,8812 S BLUE MTN PL,,HIGHLANDS RANCH,CO,80126,US,,,,,,,5/19/1993
19981078443,"NICK & CHAD'S AERIAL ADVENTURES INC., Dissolved February 1, 2001",343 S OWENS ST,BOX 36,Byers,CO,80103,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,4/28/1998
19961090714,"ROCKY MOUNTAIN ADVENTURE WAREHOUSE, INC., Dissolved May 1, 2004",161 TOPSFIELD RD,,Pittsburgh,PA,15241,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,7/9/1996
19931035472,"WIND RIVER SYSTEMS, INC.",500 Wind River Way,,Alameda,CA,94501,US,,,,,,,Good Standing,,Foreign Corporation,FPC,,,,,The Corporation Company,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112-1268,US,,,,,,,4/2/1993
19971057434,"SAFARIS AND SUMMITS ADVENTURE TRAVEL, CO., Dissolved February 1, 2000",PHYSCIAL ADDRESS,42 GRANITE ST,Frisco,CO,80443,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,4/10/1997
19871174727,ARKANSAS RIVER MUTUAL IRRIGATION COMPANY,,,,,,,,,,,,,Exists,,Water Company,WC,,,,,,,,,,,,,,,,,,11/30/1921
19991187716,RIVER WAY HOMEOWNERS ASSOCIATION AT GLENWOOD SPRINGS,3333 Hager Lane,,Glenwood Springs,CO,81601,US,3333 Hager Lane,,Glenwood Springs,CO,81601,US,Good Standing,,Nonprofit Corporation,DNC,Thomas,Gregory,Whattoff,,,3333 Hager Lane,,Glenwood Springs,CO,81601,US,0128 Mt Shadows Drive,,Glenwood Springs,CO,81601,US,10/6/1999
19981079383,"MBR River Oaks Apartments, LLC",385 Interlocken Crescent,Suite 250,Broomfield,CO,80021,US,,,,,,,Good Standing,,Limited Liability Company,DLLC,Lee,F.,Sachnoff,,,1801 California Street,Suite 3000,Denver,CO,80202,US,,,,,,,4/29/1998
19961086131,"L.K. RANCH ADVENTURES, LLC, Dissolved January 1, 2002",7576 CR 13,,Meeker,CO,81641,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,LOWELL,,KLINGLESMITH,,,7576 CR 13,,MEEKER,CO,81641,US,,,,,,,6/28/1996
19991188142,"RIVERMOND, LLC",PO Box 40130,,Denver,CO,80204,US,P.O. Box 40130,,Denver,CO,80204,US,Good Standing,,Limited Liability Company,DLLC,TAMARIS,T,ATTEBERY,,,PO Box 40130,,Denver,CO,80204,US,P.O Box 40130,,Denver,CO,80204,US,10/7/1999
19991136888,"AMERICAN HOMECRAFTERS, INC., Dissolved May 1, 2003",PO BOX 10303,,Colorado Springs,CO,80932-1303,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,7/21/1999
19951152518,"J F GRAFTON LEASING LLC, Dissolved January 1, 2002",6657 W OTTAWA A-9,,Littleton,CO,80123,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,STEVEN,K.,GARRISON,,,2817 S OGDEN ST,,ENGLEWOOD,CO,80110,US,,,,,,,12/13/1995
19981081141,"Sun River Energy, Inc., Delinquent August 1, 2015",5646 Milton Street,Suite 130,Dallas,TX,75206,US,,,,,,,Delinquent,,Corporation,DPC,,,,,,,,,,,,,,,,,,4/30/1998
19981081476,"AEROCRAFT, INC., Dissolved March 1, 2003",10577 WEST CENTENNIAL ROAD,,Littleton,CO,80127,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,5/1/1998
19981081483,"COLORADO AIRCRAFT HANGERS, LLC, Delinquent October 1, 2015",25 Lake View Dr,,Black Hawk,CO,80422,US,PO BOX 65,,Black Hawk,CO,80422,US,Delinquent,,Limited Liability Company,DLLC,PEGGY,A.,LONG,,,25 Lake View Dr,,Black Hawk,CO,80422,US,PO BOX 65,,Black Hawk,CO,80422,US,5/1/1998
19991189360,"AIM LEASING DRIVERS OF COLORADO, INC., Dissolved April 24, 2003",1500 TRUMBULL RD,,Girard,OH,44420,US,,,,,,,Voluntarily Dissolved,,Corporation,DPC,RICK,L.,FOX,,,5151 YORK ST,,DENVER,CO,80216,US,,,,,,,10/8/1999
19981041513,"ACTIVEGUIDE, LLC, Dissolved November 15, 2009",7900 EAST DARTMOUTH AVENUE #68,,Denver,CO,80231,US,P.O. BOX 24994,,Denver,CO,80224,US,Voluntarily Dissolved,,Limited Liability Company,DLLC,ERIC,JON,KLEPINGER,,,7900 EAST DARTMOUTH AVENUE #68,,DENVER,CO,80231,US,P.O. Box 24994,,DENVER,CO,80224,US,3/4/1998
19871683240,"WHITE RIVER RENDEZVOUS RANCH, LTD.",,,,,,,,,,,,,Voluntarily Dissolved,,Limited Partnership,DLP,FRANK,J.,STASKO,,,"5200 S. QUEBEC ST., SUTIE 501",,ENGLEWOOD,CO,80110,US,,,,,,,7/29/1986
19871683409,PLATTE RIVER LTD.,,,,,,,,,,,,,Exists,,Limited Partnership,DLP,,,,,CONQUEST OIL COMPANY,"3400 WEST 16TH ST., #6L",,GREELEY,CO,80631,US,,,,,,,7/30/1986
19991189698,"NEW CASTLE RIVERSIDE PARK LLC, Dissolved March 31, 2005",214 8TH ST SUITE 209,,Glenwood Springs,CO,81601,US,P.O. BOX 1330,,Glenwood Springs,CO,81602,US,Administratively Dissolved,,Limited Liability Company,DLLC,PATRICK,M.,FITZGERALD,,,214 8TH ST SUITE 209,,GLENWOOD SPRINGS,CO,81601,US,1330,,GLENWOOD SPRINGS,CO,81602,US,10/11/1999
19941071075,"RAINBOW CYCLE CRAFT, INC., Dissolved April 1, 2003",,,,,,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,6/23/1994
19951033332,"DRIVER PIPELINE COMPANY, INC.",1200 N. Union Bower Road,,Irvine,TX,75061,US,,,,,,,Good Standing,,Foreign Corporation,FPC,,,,,Corporation Service Company,1900 W. Littleton Boulevard,,Littleton,CO,80120,US,,,,,,,3/14/1995
19981079468,"RIVER SONG LODGE DEVELOPMENT, LLC, Dissolved January 1, 2004",,,,,,,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,DARCY,W.,NARANS,,,3440 S VANCE ST,,LAKEWOOD,CO,80227,US,,,,,,,4/29/1998
19971120237,"EAST RIVER RANCHES HOMEOWNERS' ASSOCIATION, INC.",223 Elk Avenue,Unit 202 B,Crested Butte,CO,81224,US,P.O. Box 2958,,Crested Butte,CO,81224,US,Good Standing,,Nonprofit Corporation,DNC,,,,,"Huckstep Law, LLC",223 Elk Avenue,Unit 202B,Crested Butte,CO,81224,US,P.O. Box 2958,,Crested Butte,CO,81224,US,7/30/1997
19971152716,"IRONCRAFT INC., Dissolved August 1, 2000",,,,,,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,10/1/1997
19871358654,"COLORADO RIVER ENERGY DISTRIBUTORS ASSOCIATION, INC.",10429 S. 51st St.,Suite 230,Phoenix,AZ,85044,US,,,,,,,Good Standing,,Nonprofit Corporation,DNC,Joseph,B.,Wilson,,,2000 E HORSETOOTH RD,,FORT COLLINS,CO,80525,US,,,,,,,11/6/1978
19901072859,"THREE RIVERS RANCH, INC.",17007 MARCY ST.,STE 1,Omaha,NE,68118,US,,,,,,,Good Standing,,Corporation,DPC,JOEL,,DURAND,,,128 MEADOW MILE ROAD,,WINTER PARK,CO,80482,US,P O BOX 417,,WINTER PARK,CO,80482,US,7/5/1990
19981083598,"ROCKY MOUNTAIN ANGLERS INCORPORATED, Delinquent November 1, 2010",1904 ARAPAHOE AVENUE,,Boulder,CO,80302,US,,,,,,,Delinquent,,Corporation,DPC,ROBIN,,BLACK,,,526 RIM RD,,BOULDER,CO,80302,US,,,,,,,5/5/1998
19871451407,PINE RIVER SENIOR CITIZENS,111 S West St,,Bayfield,CO,81122,US,P O Box 693,,Bayfield,CO,81122,US,Good Standing,,Nonprofit Corporation,DNC,Carole,,McWilliams,,,110 E. Mill St.,,Bayfield,CO,81122,US,P O Box 693,,Bayfield,CO,81122,US,10/7/1981
19981084065,"MOUNTAINTOP ADVENTURES, INC., Dissolved October 31, 2004",68 IRON HORSE ROAD,,Carbondale,CO,81623,US,,,,,,,Administratively Dissolved,,Corporation,DPC,DOUGLAS,P.,ALLEN,,,520 E COOPER STE 230,,ASPEN,CO,81611,US,,,,,,,5/5/1998
19871451418,TWIN RIVERS CONDOMINIUM ASSOCIATION,208 Midland Ave,,Basalt,CO,81621,US,P.O. Box 4100,,Basalt,CO,81621,US,Good Standing,,Nonprofit Corporation,DNC,,,,,The Romero Group,208 Midland Ave.,,Basalt,CO,81621,US,P.O. Box 4100,,Basalt,CO,81621,US,10/7/1981
19871685172,RIVER GREEN PROPERTIES LIMITED PARTNERSHIP,120 N BOULEVARD,,Gunnison,CO,81230,US,,,,,,,Voluntarily Dissolved,,Limited Partnership,DLP,YALE,,HAL,,,120 N BOULEVARD,,GUNNISON,CO,81230,US,,,,,,,8/14/1986
19941123559,"RIVERSHORE SUBDIVISION HOMEOWNERS ASSOCIATION, Dissolved September 1, 1997",,,,,,,,,,,,,Administratively Dissolved,,Nonprofit Corporation,DNC,,,,,,,,,,,,,,,,,,11/3/1994
19871685642,"JENNIFER ANNTOINETTE RIVERA, P.C., Dissolved June 1, 1999",950 SOUTH CHERRY STREET,SUITE 702,Denver,CO,80222,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,8/18/1986
19971121235,"POUDRE RIVER EQUESTRIAN CENTER LLC, Delinquent September 1, 2007",5400 E COLO HWY 14,,Fort Collins,CO,80524,US,,,,,,,Delinquent,,Limited Liability Company,DLLC,LISA,A.,MARTIN,,,901 ALPINE WAY,,IDAHO SPRINGS,CO,80452,US,1301,,IDAHO SPRINGS,CO,80452,US,7/31/1997
19961085559,"PRECISION CRAFTSMAN, INC., Dissolved April 1, 1999",,,,,,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,6/27/1996
19951055987,"ARKANSAS RIVER MEN OF INTEGRITY, Dissolved February 1, 1998",,,,,,,,,,,,,Administratively Dissolved,,Nonprofit Corporation,DNC,,,,,,,,,,,,,,,,,,4/26/1995
19871564211,"K T ADVENTURES, INC.",0049 PLUM,,Basalt,CO,81621,US,,,,,,,Good Standing,,Corporation,DPC,C.,TANDY,LAMASTER,II,,0049 PLUM,,BASALT,CO,81621,US,,,,,,,3/29/1984
19871564294,"ROCKY MOUNTAIN MAILCRAFTERS, INC., Dissolved August 31, 2005",747 SHERIDAN BLVD STE 2D,,Lakewood,CO,80226,US,,,,,,,Administratively Dissolved,,Corporation,DPC,RICHARD,D.,ADLER,,,747 SHERIDAN BLVD STE 2D,,LAKEWOOD,CO,80226,US,PO BOX 260556,,LAKEWOOD,CO,80226,US,3/29/1984
20011067332,"AMERICAN MOUNTAIN GUIDES ASSOCIATION, Colorado Authority Terminated October 1, 2002",1515 12TH ST,,Bellingham,WA,98225,US,,,,,,,Revoked,,Foreign Nonprofit Corporation,FNC,,,,,,,,,,,,,,,,,,4/2/2001
19931038915,"TWO RIVERS INSTITUTE, Delinquent March 1, 2015",1845 Bellaire St,,Denver,CO,80220,US,,,,,,,Delinquent,,Nonprofit Corporation,DNC,MARK,,HUGHES,,,1845 Bellaire St,,DENVER,CO,80220,US,,,,,,,4/12/1993
19931038990,"THE CRAFT CONNECTION LIMITED LIABILITY COMPANY, Dissolved January 1, 1999",8261 S HOLLY,,Littleton,CO,80122,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,SANDRA,A.,CUMMINGS,,,"4760 S WADSWORTH BLVD, #A-301",,LITTLETON,CO,80123,US,,,,,,,4/13/1993
19981186157,"POUDRE RIVER RANCH COMPANY, INC., Delinquent March 1, 2015",1813 61st Ave #200,,Greeley,CO,80634,US,,,,,,,Delinquent,,Corporation,DPC,Ed,T,Orr,,,1813 61st Ave #200,,GREELEY,CO,80634,US,,,,,,,10/16/1998
20011067558,"YELLOW RIVER, LLC",33278 HWY 85,,Lucerne,CO,80646,US,P.O. Box 149,,Lucerne,CO,80646,US,Good Standing,,Limited Liability Company,DLLC,LARRY,,LANDE,,,33278 HWY 85,,LUCERNE,CO,80646,US,PO BOX 149,,LUCERNE,CO,80646,US,4/2/2001
20011067570,"DRIVER SAFETY CONSULTANTS, INC.",4327 N. Academy Blvd.,,Colorado Springs,CO,80918,US,,,,,,,Good Standing,,Corporation,DPC,THOMAS,,ANTKOW,,,4327 N. Academy Blvd.,,COLORADO SPRINGS,CO,80918,US,4327 N. Academy Blvd.,,Colorado Springs,CO,80918,US,4/2/2001
19871469354,RIVERLAND LIMITED PARTNERSHIP,,,,,,,,,,,,,Exists,,Limited Partnership,DLP,ROBERT,G.,GODWIN,,,721 GOTHIC ROAD,,MT. CRESTED BUTTE,CO,81224,US,,,,,,,3/25/1982
